year,population
1961,439235000
1962,449358077
1963,459745839
1964,470361733
1965,481185659
1966,491941600
1967,502527385
1968,513225024
1969,524356165
1970,535908556
1971,547753117
1972,559896848
1973,572368164
1974,585253180
1975,598469393
1976,611865875
1977,625382302
1978,639193348
1979,653338282
1980,667865481
1981,682967381
1982,698510988
1983,714302979
1984,730436864
1985,746964861
1986,763759338
1987,780831431
1988,798095193
1989,815527841
1990,833218413
1991,851058790
1992,868947119
1993,886972074
1994,905135820
1995,923427312
1996,941820795
1997,960199820
1998,978628576
1999,997100757
2000,1015540473
2001,1034045489
2002,1052745648
2003,1071450494
2004,1089925183
2005,1108157570
2006,1125933849
2007,1143096548
2008,1159858593
2009,1176356323
2010,1192721733
2011,1209152618
2012,1225616296
2013,1241943859
2014,1258058687
2015,1273663171
2016,1288791683
2017,1304064460
2018,1319134548
2019,1333480502
2020,1347152821
2021,1360021106
